Metric,Value
Timestamp,2025-11-04T15:45:13.885872
Total Recommendations,120
Relevance Score,1.0
Diversity Score,0.738
Coverage Rate,0.615
Personalization Score,1.0
Approval Rate,0.992
Rejection Rate,0.0
Eligibility Rate,0.493
Total Users,73
Users with Signals,36
Signal Detection Rate,0.493
Consent Rate,0.712
